name,price,sweet,bitter,fruity,acidity,aging,soft
Cliff Creek 2012 Cabernet Sauvignon (Southern Oregon),27,3.0,5.0,5.0,5.0,4.0,3.0
Manos Negras 2012 Stone Soil Select Malbec (Mendoza),26,5.0,3.0,5.0,3.0,4.0,3.0
G챕rard Loriot NV Tradition Brut Pinot Meunier (Champagne),50,3.0,3.0,4.0,3.0,3.0,5.0
Santa Carolina 2009 Reserva Pinot Noir (Maule Valley),13,4.0,4.0,5.0,3.0,3.0,3.0
Cascina del Pozzo 2007 Montegalletto Riserva  (Roero),,3.0,3.0,5.0,3.0,2.0,1.0
Anemoi 2011 Notus Red (Grand Valley),50,3.0,3.0,5.0,3.0,3.0,3.0
Rafael Cambra 2012 Soplo Garnacha Tintorera (Valencia),15,3.0,5.0,5.0,3.0,5.0,5.0
Heron Hill 2012 Ingle Vineyard Unoaked Chardonnay (Finger Lakes),18,4.0,3.0,4.0,5.0,5.0,3.0
Salentein 2012 Plot N째2 Single Vineyard Chardonnay (Uco Valley),50,4.0,3.0,5.0,3.0,5.0,4.0
Guado al Melo 2013 Bacco in Toscana Red (Toscana),18,3.0,5.0,5.0,3.0,4.0,3.0
Cloudlift Cellars 2010 Halcyon Cabernet Sauvignon (Horse Heaven Hills),24,5.0,3.0,5.0,3.0,2.0,3.0
Simaine Cellars 2009 Larry Venturi Vineyards Syrah (Mendocino),25,5.0,3.0,5.0,3.0,4.0,3.0
Ch창teau les Valentines 2012 La Caprice de Cl챕mentine Ros챕 (C척tes de Provence),,3.0,3.0,5.0,5.0,3.0,3.0
Efeste 2014 Sauvage Boushey Vineyard Sauvignon Blanc (Yakima Valley),25,3.0,3.0,5.0,5.0,3.0,3.0
Alta Vista 2012 Single Vineyard Serenade Malbec (Luj찼n de Cuyo),48,5.0,5.0,5.0,3.0,5.0,3.0
Brigadoon 2015 Pinot Blanc (Willamette Valley),18,4.0,3.0,5.0,5.0,5.0,3.0
Daou 2013 Micho Red (Adelaida District),65,3.0,5.0,5.0,5.0,4.0,5.0
Quintay 2015 Clava Reserve Pinot Noir Ros챕 (Casablanca Valley),9,3.0,3.0,5.0,5.0,5.0,3.0
La Jota Vineyard 2009 Cabernet Franc (Howell Mountain),75,3.0,5.0,5.0,4.0,4.0,1.0
Margerum 2013 Colson Canyon Vineyard Syrah (Santa Barbara County),40,5.0,3.0,3.0,5.0,3.0,3.0
Waters 2008 Cabernet Sauvignon (Columbia Valley (WA)),54,3.0,5.0,5.0,3.0,4.0,3.0
Joseph Phelps 2012 Freestone Vineyards Estate Grown Chardonnay (Sonoma Coast),55,3.0,3.0,5.0,5.0,2.0,3.0
Reustle 2013 Prayer Rock Vineyards Noah's & Jezreel Bloc Viognier (Umpqua Valley),27,4.0,3.0,4.0,3.0,5.0,1.0
Shooting Star 2015 Chardonnay (Mendocino County),14,3.0,3.0,5.0,5.0,4.0,3.0
Kingston Family 2011 Cariblanco Sauvignon Blanc (Casablanca Valley),16,3.0,3.0,3.0,3.0,3.0,5.0
Herdade do Espor찾o 2015 Espor찾o Colheita Red (Alentejano),14,3.0,5.0,3.0,5.0,3.0,3.0
Fiuza 2015 Oceanus Touriga Nacional-Cabernet Sauvignon Red (Tejo),11,3.0,5.0,4.0,5.0,3.0,5.0
Michele Chiarlo 2012 La Court  (Barbera d'Asti Superiore),50,5.0,5.0,5.0,5.0,3.0,5.0
Robert Mondavi 2013 Fum챕 Blanc (Oakville),40,5.0,3.0,3.0,5.0,5.0,3.0
Bargetto 2015 Pommard Clone Pinot Noir (Santa Cruz Mountains),35,3.0,3.0,5.0,4.0,4.0,3.0
Montecappone 2012 Federico II A.D. 1194  (Verdicchio dei Castelli di Jesi Classico Superiore),26,3.0,3.0,5.0,5.0,4.0,4.0
Hightower 2010 Cabernet Sauvignon (Red Mountain),36,3.0,5.0,5.0,3.0,3.0,5.0
Aveleda 2014 White (Douro),9,3.0,3.0,5.0,5.0,5.0,5.0
Buttonwood 2010 Cabernet Sauvignon (Santa Ynez Valley),26,3.0,5.0,5.0,3.0,3.0,3.0
Quinta do P척pa 2015 P척pa Black Edition Branco White (Douro),23,3.0,3.0,4.0,3.0,4.0,5.0
Ram처n Bilbao 2014 Albari챰o (R챠as Baixas),15,4.0,3.0,5.0,5.0,3.0,5.0
Shafer 2010 Hillside Select Cabernet Sauvignon (Stags Leap District),250,3.0,3.0,5.0,3.0,4.0,2.0
Vintners Signatures 2010 Chardonnay (Sonoma Coast),18,3.0,3.0,3.0,3.0,5.0,3.0
Concannon 2010 Selected Vineyards Pinot Noir (Central Coast),10,5.0,3.0,5.0,3.0,3.0,5.0
Kumeu River 2014 Estate Chardonnay (Kumeu),34,4.0,3.0,5.0,5.0,5.0,3.0
Underground Wine Project 2014 Idle Hands Red (Red Mountain),25,5.0,3.0,5.0,5.0,3.0,3.0
Hanzell 2012 Sebella Chardonnay (Sonoma Valley),36,5.0,3.0,5.0,5.0,2.0,5.0
Pali 2006 Momtazi Vineyard Pinot Noir (Willamette Valley),48,4.0,3.0,5.0,4.0,3.0,1.0
Antucura 2013 Intuition Malbec (Vista Flores),13,4.0,3.0,5.0,3.0,3.0,3.0
Twisted Twig 2011 Regal Petite Sirah (El Dorado County),48,5.0,4.0,5.0,3.0,2.0,3.0
Ch창teau Lafon-Rochet 2009 Les P챕lerins de Lafon-Rochet  (Saint-Est챔phe),30,3.0,5.0,3.0,3.0,4.0,3.0
Sobon Estate 2012 Rocky Top Zinfandel (Amador County),17,5.0,3.0,5.0,5.0,4.0,5.0
Moura Basto 2010 Reserva Red (Douro),,3.0,5.0,5.0,5.0,3.0,2.0
Ch창teau du Cartillon 2008  Haut-M챕doc,,3.0,5.0,5.0,5.0,3.0,3.0
Cantina Progettidivini 2010 Millesimato  (Conegliano Valdobbiadene Prosecco Superiore),21,4.0,3.0,5.0,5.0,4.0,2.0
Vi챰a Tarapac찼 2010 Gran Reserva Syrah (Maipo Valley),18,5.0,3.0,5.0,3.0,4.0,3.0
Sawtooth 2012 Cabernet Sauvignon,16,5.0,5.0,5.0,4.0,4.0,3.0
Th철rle 2013 Saulheimer Probstey Trocken Riesling (Rheinhessen),43,3.0,3.0,5.0,5.0,4.0,2.0
Domaine Marcel Deiss 2012 Schoenenbourg Grand Cru White (Alsace),78,5.0,3.0,5.0,5.0,3.0,3.0
Mounts 2007 Estate Grown Syrah (Dry Creek Valley),28,4.0,3.0,5.0,3.0,4.0,3.0
Ch창teau de Fesles 2011 Vin Rare  (Bonnezeaux),40,5.0,3.0,5.0,5.0,2.0,3.0
Latium di Morini 2011 Campo le Calle  (Soave),18,3.0,5.0,5.0,5.0,3.0,3.0
Saffron Fields Vineyard 2013 Dijon Clones Pinot Noir,50,3.0,5.0,5.0,3.0,2.0,5.0
Marani 2013 Kondoli Single Vineyard Rkatsiteli Rkatsiteli (Kakheti),14,3.0,3.0,5.0,5.0,1.0,3.0
Enoport 2012 Enigma Reserva Red (Tejo),15,3.0,5.0,4.0,3.0,3.0,3.0
Lapostolle 2010 Clos Apalta Red (Colchagua Valley),93,5.0,3.0,5.0,5.0,4.0,5.0
Tinhof 2010 Blau & Red Red (Burgenland),18,3.0,3.0,5.0,3.0,5.0,3.0
Nebel 2012 Riesling (Rheinhessen),11,3.0,3.0,5.0,5.0,3.0,4.0
Hewitson 2014 Baby Bush Mourv챔dre (Barossa Valley),20,3.0,3.0,5.0,3.0,3.0,5.0
Castello di Verduno 2012 Rabaj횪  (Barbaresco),50,3.0,5.0,5.0,5.0,3.0,3.0
Wines & Winemakers 2012 Pegos Claros Grande Escolha Red (Palmela),40,4.0,5.0,5.0,5.0,3.0,2.0
Novy 2014 Limerick Lane Vineyard Zinfandel (Russian River Valley),34,3.0,3.0,5.0,5.0,4.0,3.0
Carol Shelton 2010 Karma Zin Bastoni Vineyard Zinfandel (Sonoma County),33,3.0,5.0,5.0,3.0,3.0,5.0
Marsiliana 2005 Red (Toscana),,3.0,5.0,5.0,3.0,4.0,5.0
Adams Bench 2009 Mays Discovery Vineyard Cabernet Sauvignon (Horse Heaven Hills),52,5.0,5.0,4.0,3.0,5.0,3.0
Goldwater 2008 Wairau Sauvignon Blanc (Marlborough),18,3.0,3.0,5.0,5.0,2.0,3.0
Bibi Graetz 2010 Testamatta Gigliese Ansonica (Toscana),30,4.0,3.0,5.0,4.0,3.0,4.0
Gadais P챔re et Fils 2015 Vieilles Vignes Sur Lie  (Muscadet S챔vre et Maine),19,3.0,3.0,5.0,4.0,3.0,2.0
Milbrandt 2014 Traditions Merlot (Columbia Valley (WA)),17,3.0,3.0,5.0,3.0,4.0,5.0
Jessie's Grove 2001 Legacy 1868 Red (California),45,4.0,3.0,3.0,3.0,3.0,3.0
Tenuta Cocci Grifoni NV Passerina  (Marche),10,3.0,3.0,2.0,5.0,4.0,2.0
Saddleback 2011 Cabernet Sauvignon (Oakville),72,3.0,3.0,5.0,5.0,4.0,3.0
Jasper Hill 2014 Emily's Paddock Shiraz-Cabernet Franc Red (Heathcote),125,3.0,3.0,5.0,3.0,3.0,2.0
Marchesi Antinori 2009 P챔ppoli  (Chianti Classico),,3.0,3.0,5.0,4.0,2.0,3.0
Biondi 2011 Cisterna Fuori  (Etna),60,3.0,5.0,5.0,5.0,4.0,3.0
Ch창teau Peyros 2005 Vieilles Vignes Tannat (Madiran),18,3.0,5.0,4.0,3.0,3.0,3.0
Vignerons de Buxy 2014 Buissonnier  (Montagny),17,3.0,3.0,5.0,5.0,4.0,3.0
Planeta 2009 Santa Cecilia Red (Noto),43,3.0,3.0,3.0,3.0,4.0,3.0
Donatella Cinelli Colombini 2008 Riserva  (Brunello di Montalcino),80,3.0,5.0,5.0,3.0,5.0,3.0
Vigne & Vini 2005 Tatu  (Primitivo del Tarantino),,3.0,3.0,3.0,3.0,3.0,3.0
Sivi 2011 Pinot Populus Pinot Grigio (Vipavska Dolina),,3.0,3.0,5.0,5.0,4.0,3.0
Dr. Konstantin Frank 2015 Dry Ros챕 (Finger Lakes),15,3.0,3.0,5.0,3.0,2.0,3.0
Bodegas Valdemar 2006 Esencia Valdemar  (Rioja),10,3.0,3.0,3.0,4.0,3.0,3.0
Alvear 2006 Palacio Quemado Crianza Tempranillo (Ribera del Guadiana),15,3.0,3.0,3.0,3.0,1.0,3.0
Ch창teau le Pape 2007  Pessac-L챕ognan,50,3.0,5.0,3.0,3.0,5.0,3.0
Dopff & Irion 2009 Vorbourg Grand Cru Pinot Gris (Alsace),30,3.0,5.0,5.0,5.0,2.0,3.0
Chaddsford 2007 Merlot (Pennsylvania),18,3.0,3.0,5.0,3.0,4.0,3.0
The Crossings 2016 Sauvignon Blanc (Awatere Valley),15,3.0,3.0,5.0,4.0,2.0,5.0
Aquinas 2014 Cabernet Sauvignon (Napa County-Sonoma County-Lake County),22,3.0,3.0,5.0,3.0,4.0,3.0
Mahoney 2011 Gavin Vineyard Chardonnay (Carneros),22,3.0,3.0,3.0,5.0,5.0,3.0
X 2006 ES Vineyard Sauvignon Blanc (Lake County),17,4.0,3.0,4.0,5.0,4.0,3.0
Novy 2010 Gew체rztraminer (Russian River Valley),19,5.0,3.0,5.0,5.0,3.0,1.0
Luigi Righetti 2008 Campolieti  (Valpolicella Classico Superiore Ripasso),17,3.0,3.0,5.0,4.0,4.0,2.0
Brian Carter Cellars 2010 Oriana White (Yakima Valley),25,4.0,3.0,4.0,5.0,5.0,3.0
La Crema 2014 Pinot Noir (Russian River Valley),40,3.0,3.0,5.0,5.0,4.0,3.0
Tegernseerhof 2011 Loibenberg Smaragd Gr체ner Veltliner (Wachau),,3.0,3.0,4.0,5.0,3.0,3.0
Kaiken 2016 Reserva Malbec (Mendoza),14,3.0,3.0,5.0,3.0,4.0,3.0
Casal do Conde 2011 Reserva Red (Tejo),,3.0,4.0,5.0,5.0,2.0,3.0
Castell 2014 Schlossberg GG Trocken Silvaner (Franken),,3.0,3.0,5.0,5.0,5.0,3.0
The Seeker 2015 Riesling (Mosel),14,5.0,3.0,4.0,5.0,3.0,3.0
Altos de Cristimil 2014 Albari챰o (R챠as Baixas),20,3.0,3.0,5.0,5.0,3.0,3.0
Ehlers Estate 2014 Sylviane Ros챕 (St. Helena),28,3.0,3.0,5.0,5.0,5.0,1.0
Ballentine 2012 Estate Grown Merlot (Napa Valley),28,4.0,3.0,5.0,3.0,3.0,3.0
Calina 2009 Reserva Chardonnay (Casablanca Valley),10,5.0,3.0,5.0,5.0,4.0,5.0
Gonz찼lez Byass NV Tio Pepe Fino Muy Seco Palomino (Jerez),18,4.0,3.0,5.0,5.0,4.0,1.0
Quinta do Crasto 2015 Vintage  (Port),66,5.0,5.0,5.0,5.0,5.0,3.0
Etude 2016 Grace Benoist Ranch Estate Grown Ros챕 of Pinot Noir (Carneros),28,3.0,3.0,5.0,5.0,2.0,5.0
Root:1 2014 Carmen챔re (Colchagua Valley),12,3.0,3.0,5.0,3.0,3.0,3.0
WesMar 2012 Hellenthal Vineyard Pinot Noir (Sonoma Coast),45,4.0,3.0,5.0,5.0,5.0,3.0
Bianchi 2015 Pinot Grigio (Central Coast),14,5.0,3.0,4.0,3.0,3.0,3.0
Navarro 2012 Pinot Noir (Anderson Valley),20,3.0,5.0,5.0,5.0,3.0,1.0
Dr. Pauly Bergweiler 2016 Bernkasteler alte Badstube am Doctorberg Dry Riesling (Mosel),27,4.0,3.0,5.0,5.0,3.0,1.0
Dourthe 2014 La Grande Cuv챕e  (Bordeaux Blanc),12,3.0,3.0,3.0,5.0,1.0,3.0
Novy 2006 Rosella's Vineyard Syrah (Santa Lucia Highlands),33,4.0,5.0,5.0,3.0,4.0,5.0
Avery Lane 2007 Cabernet Sauvignon (Washington),10,4.0,3.0,5.0,3.0,4.0,3.0
Lumos 2009 5 Block Pinot Noir (Willamette Valley),24,3.0,3.0,3.0,3.0,3.0,3.0
Broadway Vineyards 2013 Estate Grown Syrah (Carneros),35,3.0,3.0,5.0,3.0,2.0,3.0
Nobilo 2016 Icon Sauvignon Blanc (Marlborough),22,1.0,5.0,3.0,3.0,3.0,3.0
Robert Weil 2015 Kiedrich Gr채fenberg Trocken GG Riesling (Rheingau),92,3.0,3.0,5.0,5.0,5.0,1.0
Ch창teau Cormeil-Figeac 2013  Saint-횋milion,39,3.0,5.0,5.0,5.0,1.0,1.0
Union de Vignerons de l'횓le de Beaut챕 2016 Marestango Ros챕 (Ile de Beaut챕),10,3.0,3.0,5.0,5.0,3.0,3.0
Domaine Saint-Andr챕 de Figui챔re 2014 Confidentielle Ros챕 (C척tes de Provence),33,3.0,3.0,4.0,3.0,5.0,5.0
Eifel-Pfeiffer 2010 Estate Collection Auslese Riesling (Mosel),23,1.0,5.0,5.0,5.0,3.0,3.0
Tin Barn 2015 Hi Vista Vineyard Sauvignon Blanc (Carneros),19,3.0,3.0,5.0,5.0,4.0,4.0
La Rochelle 2005 Paraiso Vineyard Pinot Noir (Santa Lucia Highlands),40,3.0,3.0,5.0,5.0,3.0,3.0
Kunde 2008 Viognier (Sonoma Valley),15,3.0,3.0,3.0,5.0,5.0,3.0
Calera 2014 Vin Gris of Pinot Noir (Central Coast),20,3.0,3.0,5.0,3.0,2.0,3.0
Weisinger 2013 Estate Pinot Noir (Rogue Valley),40,4.0,3.0,5.0,3.0,3.0,3.0
Winter's Hill 2015 Watershed Pinot Gris (Dundee Hills),16,3.0,3.0,5.0,3.0,3.0,3.0
Boas Quintas 2015 Fonte do Ouro Reserva Especial Touriga Nacional (D찾o),40,3.0,5.0,5.0,5.0,3.0,3.0
Columbia Crest 2016 Reserve Dry Riesling (Yakima Valley),28,3.0,3.0,5.0,5.0,3.0,1.0
Martin Ray 2011 Reserve Pinot Noir (Santa Cruz Mountains),40,3.0,3.0,5.0,3.0,4.0,3.0
Quinta do Noval 2000 Colheita Tawny  (Port),95,3.0,3.0,5.0,5.0,4.0,3.0
Weingut Christ 2015 White (Wiener Gemischter Satz),20,3.0,3.0,5.0,5.0,2.0,3.0
Espiritu de Chile 2007 Gran Reserva Carmen챔re (Curic처 Valley),14,5.0,3.0,5.0,3.0,4.0,3.0
Donnafugata 2014 Sed횪ra Red (Sicilia),17,3.0,3.0,5.0,3.0,3.0,5.0
Atwater 2011 Dry Estate Vineyards Riesling (Finger Lakes),16,3.0,3.0,5.0,5.0,2.0,1.0
Black Stallion 2015 Chardonnay (Napa Valley),19,3.0,3.0,5.0,3.0,5.0,5.0
Nittnaus Hans und Christine 2013 Heideboden Zweigelt (Burgenland),26,3.0,3.0,5.0,3.0,3.0,5.0
Ecco Domani 2006 Pinot Grigio (Delle Venezie),11,3.0,3.0,3.0,5.0,3.0,3.0
Tenuta Sette Cieli 2014 Yantra Red (Toscana),24,3.0,5.0,5.0,5.0,5.0,5.0
Veramonte 2014 Sauvignon Blanc (Casablanca Valley),12,3.0,3.0,5.0,5.0,2.0,3.0
Blue Valley 2016 Sauvignon Blanc (Middleburg),28,3.0,3.0,3.0,5.0,3.0,3.0
Villa Canestrari 2008 A  (Amarone della Valpolicella),59,4.0,5.0,5.0,3.0,4.0,3.0
Cent'Anni 2010 Riserva Sangiovese (Santa Ynez Valley),60,3.0,5.0,5.0,3.0,4.0,3.0
14 Hands 2013 The Reserve Cabernet Franc-Merlot (Horse Heaven Hills),30,4.0,5.0,5.0,4.0,4.0,3.0
Epoch Estate Wines 2013 Authenticity Red (Paso Robles),75,5.0,5.0,5.0,5.0,3.0,3.0
Albino Rocca 2012 Ovello Vigna Loreto  (Barbaresco),55,4.0,5.0,5.0,5.0,4.0,5.0
Hermann J. Wiemer 2015 Cabernet Franc (Seneca Lake),25,3.0,5.0,5.0,3.0,3.0,5.0
Anier 2014 Vendimia Seleccionada Verdejo (Rueda),20,3.0,3.0,3.0,5.0,4.0,3.0
Bastianich 2006 Vespa White (Venezia Giulia),40,3.0,3.0,5.0,3.0,3.0,5.0
Allram 2012 Gaisberg Reserve Riesling (Kamptal),33,3.0,3.0,5.0,4.0,3.0,1.0
Bodega Norton 2010 Cabernet Sauvignon (Mendoza),10,5.0,3.0,5.0,3.0,5.0,3.0
Reustle 2015 Gr체ner Veltliner (Umpqua Valley),24,5.0,3.0,5.0,5.0,2.0,3.0
Smasne Cellars 2010 Viognier (Columbia Valley (WA)),18,5.0,3.0,3.0,5.0,3.0,3.0
Ch창teau de Jurque 2014 Fantaisie  (Juran챌on Sec),18,3.0,5.0,5.0,5.0,2.0,1.0
Vi챰a Bisquertt 2007 Casa La Joya Reserve Carmen챔re (Colchagua Valley),11,4.0,5.0,5.0,3.0,3.0,3.0
Silvio Grasso 2011 Bricco Manzoni  (Barolo),70,1.0,5.0,5.0,3.0,5.0,3.0
Two Sisters 2013 Lindsay's Vineyard Pinot Noir (Sta. Rita Hills),75,3.0,3.0,5.0,5.0,3.0,3.0
Bodegas Caro 2008 Amancaya Malbec-Cabernet Sauvignon (Mendoza),20,3.0,4.0,5.0,3.0,1.0,3.0
Ch창teau Suau 2015  Cadillac C척tes de Bordeaux,25,3.0,5.0,5.0,5.0,4.0,3.0
Corvo 2011 Fiore White (Sicilia),,3.0,3.0,3.0,5.0,2.0,3.0
M체ller-Grossmann 2013 Steinbiegl Reserve Riesling (Kremstal),33,3.0,3.0,5.0,3.0,3.0,5.0
Errazuriz 2016 Max Reserva Sauvignon Blanc (Aconcagua Costa),20,3.0,3.0,5.0,5.0,2.0,3.0
Baron Knyphausen 2015 Sp채tlese Riesling (Rheingau),26,5.0,3.0,5.0,5.0,3.0,3.0
Costaru챕l NV Le Dolcirive Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),,5.0,3.0,5.0,4.0,4.0,3.0
Bookwalter 2005 Merlot (Columbia Valley (WA)),36,5.0,5.0,5.0,3.0,2.0,1.0
UDACA 2012 Adro da S챕 Reserva Red (D찾o),17,5.0,5.0,3.0,3.0,1.0,3.0
Bouchard A챤n챕 & Fils 2005 Clos du Roi Premier Cru  (Beaune),41,3.0,4.0,5.0,5.0,2.0,3.0
Sebastiani 2009 Cherryblock Cabernet Sauvignon (Sonoma Valley),90,5.0,4.0,5.0,3.0,5.0,5.0
Peirano 2012 The Immortal Zin Zinfandel (Lodi),13,5.0,5.0,5.0,5.0,2.0,5.0
Korbel NV Sec California Champagne Sparkling (California),13,5.0,3.0,5.0,5.0,4.0,3.0
Bisch철fliche Weing체ter Trier 2013 Dom Riesling (Mosel),17,5.0,3.0,5.0,5.0,3.0,1.0
Single Wheel 2013 First Spoke Patrician Verona Vineyard Riesling (Finger Lakes),20,5.0,3.0,3.0,5.0,4.0,1.0
Edna Valley Vineyard 2013 Winemakers Series Heritage Chardonnay (Edna Valley),27,4.0,3.0,5.0,3.0,3.0,3.0
